Dataset,abbr,RDMCE-NP,RDMCE-NB,RDMCE,mce-gpu-P,mce-gpu-PX,G2-AIMD,RDMCE-A100,RDMCE-H800,RDMCE-4090,RDMCE-vertex,RDMCE-edge
flickr,fi,2.269522,45.6164,2.224958,X,X,11.959774,4.203204,2.401548,2.224958,1.237194,2.224958
twitter-higgs,hig,0.953845,2.24725,0.959501,1.84352,1.84723,13.085607,2.102482,1.222764,0.959501,1.758878,0.959501
wiki-link,wlk,7.616108,21.6032,7.573562,15.43844,X,152.710255,15.96904,8.77249,7.573562,22.625600,7.573562
facebook,fb,2.243126,25.2332,2.16445,5.344531,3.377061,17.325993,4.836312,2.875458,2.16445,3.122005,2.16445
stackoverflow,st,3.067008,15.48366,2.881268,6.59997,4.273068,24.922311,6.1801,3.636996,2.881268,23.174620,2.881268
web-ClueWeb09-50m,cw9,3.503334,5.03077,3.505368,8.145502,4213.513198,108.552925,6.725714,4.198924,3.505368,2.483278,3.505368
soc-sinaweibo,ssn,3.952014,17.1419,3.76939,8.225413,5.26507,X,7.659708,4.487286,3.76939,5.911810,3.76939
soc-orkut-dir,okd,5.638988,26.8141,5.581076,17.078409,9.860077,53.946998,12.49948,7.190324,5.581076,20.665400,5.581076
com-orkut,or,5.624358,25.8653,5.563448,17.166092,9.835916,53.38683,12.43792,7.189504,5.563448,20.544620,5.563448
com-friendster,frd,18.81046,18.8652,18.33028,36.750528,27.833804,X,43.8687,23.45748,18.33028,22.485020,18.33028
wikipedia_link_en,wen,288.3452,2721.57,288.2554,X,X,X,526.2486,262.8866,288.2554,157.046200,288.2554
dogster,dg,222.7728,15424.7,221.5792,645.635366,278.062796,X,462.482,265.4502,221.5792,858.753400,221.5792