tao,16,24,32,48,64,96
fi,2.44978,2.224958,2.24979,2.48959,3.87974,42.7695
hig,0.978216,0.963979,0.966803,1.01433,2.05564,2.29296
wlk,7.72837,7.573562,7.62935,7.59255,7.59488,7.59324
fb,2.32326,2.16445,2.10807,2.34442,8.47103,27.4868
st,2.99771,2.881268,2.92695,2.93723,4.07912,13.2308
cw9,3.58331,3.505368,3.53992,3.48968,3.63123,5.04362
ssn,3.93643,3.76939,3.79357,3.71387,3.69729,6.53005
okd,5.79584,5.581076,5.53168,5.574,8.78551,28.3328
or,5.73692,5.563448,5.60037,5.5658,8.5201,26.2185
frd,24.3491,18.33028,18.2297,18.1313,18.6923,18.1912
wen,290.913,288.2554,287.665,290.304,288.187,291.175
dg,222.731,221.5792,224.024,230.172,294.484,1223.99