warps,4,8,12,16,20,24,28,32
fi,4.481,2.48893,1.98272,2.18355,2.224958,2.1915,2.07531,7.5654
hig,3.05131,1.68717,1.24939,1.04586,0.963979,1.00721,1.14405,1.06371
wlk,22.8731,13.1459,9.83081,8.26172,7.573562,7.86405,8.93324,8.34171
fb,6.05623,3.38822,2.67061,2.31794,2.16445,3.32449,4.15152,3.33542
st,8.76038,4.93677,3.72998,3.16308,2.881268,4.00811,7.22977,3.32236
cw9,11.4208,6.2451,4.49123,3.94126,3.505368,3.70934,4.22568,3.94625
ssn,11.7367,6.46643,4.76192,4.09275,3.76939,4.55507,4.5333,7.88766
okd,18.8993,10.4174,7.70203,6.34541,5.581076,5.96466,7.62095,6.65196
or,18.7976,10.2766,7.54154,6.37511,5.563448,6.21022,6.77973,6.38375
frd,73.0152,38.9743,33.2961,25.6792,18.33028,23.8382,23.9765,28
wen,555.61,333.805,279.337,276.142,288.2554,281.013,275.97,278.073
dg,730.552,400.929,295.248,245.047,221.5792,230.646,265.962,243.657
,,,,,,,,